opening,closing
[[(([[[[([(([[([[((((([,])))))]])]]))])]]]]))]]
[[(([[[((([((([[(((,)))]])))])))]]]))]]
([(([[([,])]]))])
[(([[(([((([[[[((([(,)])))]]]])))]))]]))]
[[([[[([[([[[([([((((,))))])])]]])]])]]])]]
(([[(([[([([[[[(([([([([([([[(,)]])])])])])]))]]]])])]]))]]))
((((([(([((,))]))])))))
([[(([(([[(([([[([[[([[[([((,))])]]])]]])]])]))]]))]))]])
((([[([[[[(([(([(([[[([[(,)]])]]]))]))]))]]]])]])))
[((([(([[[[([(((([,]))))])]]]]))])))]
[(([[([[[((([((([(([[([[[([[,]])]]])]]))])))])))]]])]]))]
[[((([([[[[([([((([([[,]])])))])])]]]])])))]]
[(([[(([([[[[[(([([(([[[(([,]))]]]))])]))]]]]])]))]]))]
[[[[[[[[[[(((((([(([,]))]))))))]]]]]]]]]]
[[[((([([((([[([[,]])]])))])])))]]]
(([[([(([[[(([[([([[(([[([[[[(,)]]]])]]))]])])]]))]]]))])]]))
((([([[([([[[,]]])])]])])))
(([[([[(([(([[([(([((([[(,)]])))]))])]]))]))]])]]))
[(([[[(((([[([[([[(((,)))]])]])]]))))]]]))]
[(([(([([([[([(,)])]])])]))]))]
([[[[([(([((([([[((,))]])])))]))])]]]])
([([[(([[[[[([([((([[[[[[(([[(,)]]))]]]]]])))])])]]]]]))]])])
([[[(([((([[[(((([(([[[[,]]]]))]))))]]])))]))]]])
([((([(([([(([[[[([[[,]]])]]]]))])]))])))])
[[[[[[[[(,)]]]]]]]]
[([([([[([,])]])])])]
([[[(([([([([((([(((,)))])))])])])]))]]])
[[([[([(([([([(,)])])]))])]])]]
[[[[([([[([[(([[[((([[[(,)]]])))]]]))]])]])])]]]]
[[(([(((([[[[([([([([[[[[([,])]]]]])])])])]]]]))))]))]]
[(([[[([(((((((([([([[([[[[([[,]])]]]])]])])]))))))))])]]]))]
([[((([[[[,]]]])))]])
[([([(([([([[([[[[,]]]])]])])]))])])]
[[(((((([[,]]))))))]]
[([[(([([[[[[,]]]]])]))]])]
[[(([([(([[([[[([[((([[[[[([,])]]]]])))]])]]])]]))])]))]]
[[((((([[[[[[[,]]]]]]])))))]]
([[([[([(((((([[[((([[((((,))))]])))]]]))))))])]])]])
[[[[[(([(((([(([[[[((([(([(((,)))]))])))]]]]))]))))]))]]]]]
[[((([[[([[[(([[([([[[([([(,)])])]]])])]]))]]])]]])))]]
(([(([(([[[(([[[[((([,])))]]]]))]]]))]))]))
((([(((((([(([([[(((([((([(,)])))]))))]])]))]))))))])))
[(([[[((([(([((([[[(([(,)]))]]])))]))])))]]]))]
(((([((((([([(((([[[[,]]]]))))])])))))]))))
(([[(([[(((((((([((([([([[(,)]])])])))]))))))))]]))]]))
[[(([([(((([((([(,)])))]))))])]))]]
([([([((([[([(([([([[[([((((,))))])]]])])]))])]])))])])])
[([[([([[[([([([((([[((([,])))]])))])])])]]])])]])]
[[(([[([((([([((((((([(([((,))]))])))))))])])))])]]))]]
([((([[(([[([,])]]))]])))])
([[[[([([([[,]])])])]]]])
([([[[([[(((([([[([[((([([[,]])])))]])]])]))))]])]]])])
(([[((([[[[([((((,))))])]]]])))]]))
[[[(([([[((((([(,)])))))]])]))]]]
([(([[(((([[[[((((([((,))])))))]]]]))))]]))])
[([[([([,])])]])]
[[((([([[[[[(((([(([[[((,))]]]))]))))]]]]])])))]]
([[[[[[([[((([,])))]])]]]]]])
(((([([(((([(([([(([([,])]))])]))]))))])]))))
[[([[[[[(,)]]]]])]]
([[[[[[([[[,]]])]]]]]])
((([([(([(,)]))])])))
[[((([(((([[((([(,)])))]]))))])))]]
[[[[[[((([,])))]]]]]]
(([([[[[[[(([[[([([[[(,)]]])])]]]))]]]]]])]))
([[[[([[[[(([(,)]))]]]])]]]])
([([([(([(([([(([,]))])]))]))])])])
[[[([[([([[(((([[[[(([[[(([[(,)]]))]]]))]]]]))))]])])]])]]]
[[(((([(([[(((([[(,)]]))))]]))]))))]]
[((((([(((,)))])))))]
((([((((([[[[[((((((([([(((,)))])])))))))]]]]])))))])))
[([[([[(([([[[([[[(([,]))]]])]]])]))]])]])]
[[[(([([[[[([[[(([[[[([(([,]))])]]]]))]]])]]]])]))]]]
(([((([(([([(([[[([((,))])]]]))])]))])))]))
[(([((([[(([[[(,)]]]))]])))]))]
([[([[(([[((([[[([[(,)]])]]])))]]))]])]])
[[[([([[([[[(([([,])]))]]])]])])]]]
[[((([[(([[[([((([[([([[[[,]]]])])]])))])]]]))]])))]]
[[(([[[[([[([[[(([([[[[((([[((,))]])))]]]])]))]]])]])]]]]))]]
([([([([[[(([[[((((([[[,]]])))))]]]))]]])])])])
[([([[([((((,))))])]])])]
([((([[([[((((((([([[[,]]])])))))))]])]])))])
[[([[([([[([((([[[((([((((,))))])))]]])))])]])])]])]]
[[([([([[([[,]])]])])])]]
[[(([[[[[[[[([[(,)]])]]]]]]]]))]]
(((([([[(([([(([[([[[[(([([,])]))]]]])]]))])]))]])]))))
([[([[(([([(,)])]))]])]])
[[[[([[([[[[[(,)]]]]])]])]]]]
((([[([((([(([(([[([[([[(,)]])]])]]))]))])))])]])))
(([[((((((((([[[([[,]])]]])))))))))]]))
([[[[(([(,)]))]]]])
((([([([[[((([[[([(((,)))])]]])))]]])])])))
[(([([[[[([[,]])]]]])]))]
((([([(([([([[([[([[([,])]])]])]])])]))])])))
[[((([[[[[(([[([(([,]))])]]))]]]]])))]]
[[(([([[[(([([[(([([[[[[[(,)]]]]]])]))]])]))]]])]))]]
([[([[(([[[(([([([[[[,]]]])])]))]]]))]])]])
([[[((([([[([((((([[[,]]])))))])]])])))]]])
[[([(((((([([[[(([[(([[(([[[[[,]]]]]))]]))]]))]]])]))))))])]]
([(((([[[[(([[(([[((([[([(,)])]])))]]))]]))]]]]))))])
(([[[[[[[(([(,)]))]]]]]]]))
[([[[[[((((([[[[([([[[([[([((,))])]])]]])])]]]])))))]]]]])]
((([([((([,])))])])))
[[(([[[([([([[([[(([[([[,]])]]))]])]])])])]]]))]]
([((([[((((([([,])])))))]])))])
([[[[[[[[(([([[,]])]))]]]]]]]])
(([(((([[([([[[(((,)))]]])])]]))))]))
[[[[((((([([([(([[([((,))])]]))])])])))))]]]]
([(((([([(((([([[,]])]))))])]))))])
[(([(((([(([[(([((((([[(((((,)))))]])))))]))]]))]))))]))]
[((([[[[[([[(((((([([,])]))))))]])]]]]])))]
([[[([([[[[[([[((([[,]])))]])]]]]])])]]])
(([([(((([[[[[(([[(([,]))]]))]]]]]))))])]))
[([[([(([([[[([(([(([(,)]))]))])]]])]))])]])]
[[((([(([[,]]))])))]]
(([[([[([(([[((,))]]))])]])]]))
([([([[(([[(([[([,])]]))]]))]])])])
(([[(((([[((([(([(([[[[((([,])))]]]]))]))])))]]))))]]))
[((([([[[((([[[((([[,]])))]]])))]]])])))]
[[[(([([[((((([[[([(((([[([[[(,)]]])]]))))])]]])))))]])]))]]]
([((([[[[[([([[[[((,))]]]])])]]]]])))])
([[(([[([[((([(,)])))]])]]))]])
[(([[((([[[(([(,)]))]]])))]]))]
([([(((([(([([([([(([(([[[[,]]]]))]))])])])]))]))))])])
([[([([[[,]]])])]])
([[[[([(([(((([[[(([[[([[[(,)]]])]]]))]]]))))]))])]]]])
([[([[[[([((([(([[[[[[[[([(((,)))])]]]]]]]]))])))])]]]])]])
[[([((([[[([(([[((,))]]))])]]])))])]]
[[(([((((([[(([[[([(([,]))])]]]))]])))))]))]]
[[([([[(([[[(([(([(([(([,]))]))]))]))]]]))]])])]]
([[([([([(([([[((((([([(,)])])))))]])]))])])])]])
[[[[([[([[([(([[([[[[([[[(((,)))]]])]]]])]]))])]])]])]]]]
[([(([([[[[[((((,))))]]]]])]))])]
(([[[(([[([([(([([(([((([([,])])))]))])]))])])]]))]]]))
[[((([[(([,]))]])))]]
([[[[(([([([[[[(((,)))]]]])])]))]]]])
[[([[(([[[([[[[([[[([([(([[,]]))])])]]])]]]])]]]))]])]]
[([((([([([([([[[,]]])])])])])))])]
[[[([((([(([(([,]))]))])))])]]]
(([[[([[([([([([([[[(,)]]])])])])])]])]]]))
[[[[([([(((([[[([[[[[,]]]]])]]]))))])])]]]]
(([(((([((((((([,])))))))]))))]))
[(((([[,]]))))]
[([[((([[([[(,)]])]])))]])]
([[[[(([(((([([([[[([[,]])]]])])]))))]))]]]])
([[[(([[(([((([[(((([,]))))]])))]))]]))]]])
[([[[[([(([(,)]))])]]]])]
[([([([[[,]]])])])]
[([(([[([([((([((([([(((,)))])])))])))])])]]))])]
((((((([(([[([(((((((([((([[[[,]]]])))]))))))))])]]))])))))))
[((([(([(([([,])]))]))])))]
([([[[[[[[((((([[([[[[[[,]]]]]])]])))))]]]]]]])])
[(((([[[[[((([[((,))]])))]]]]]))))]
[[[((([[[(([((((([[[([(([(,)]))])]]])))))]))]]])))]]]
[[(([([(([[[[(([[[([[,]])]]]))]]]]))])]))]]
([([[([[[[[[((([(([[[([,])]]]))])))]]]]]])]])])
(((([[([[((([,])))]])]]))))
[([((((((,))))))])]
((((((((([[([((,))])]])))))))))
[[(([((([[([[,]])]])))]))]]
([((((([(([[(([[[((([([[[[,]]]])])))]]]))]]))])))))])
(([[[(((([[[((((,))))]]]))))]]]))
[(([(([((([(([[[([(,)])]]]))])))]))]))]
[((([[(([[([([[[(,)]]])])]]))]])))]
[[([(([[(([([([[(((([(,)]))))]])])]))]]))])]]
[[[(([([(([[,]]))])]))]]]
([[[[([[([[(([(,)]))]])]])]]]])
([[([[([[(([[(([(([,]))]))]]))]])]])]])
[([[[([(((([[[((([(,)])))]]]))))])]]])]
[[(((([[[[[([(((([[,]]))))])]]]]]))))]]
(([[[[[[[[[[([[[[(([[(([(,)]))]]))]]]])]]]]]]]]]]))
((([[([([([[[([,])]]])])])]])))
[[(([((((([([(([((((([[([,])]])))))]))])])))))]))]]
[([[(([((([([([(([(([(([([(,)])]))]))]))])])])))]))]])]
[[(([((([[(((((([([((([,])))])]))))))]])))]))]]
[[[((([([(([((([(([(((((([,]))))))]))])))]))])])))]]]
(([[[((([(([[([[[((,))]]])]]))])))]]]))
[((((((([([(([((((((([[([([[(,)]])])]])))))))]))])])))))))]
([([(((((([([(,)])]))))))])])
(([([(([(([(,)]))]))])]))
(([((([[[[[([(([([[,]])]))])]]]]])))]))
((([[[[[[([[[[,]]]])]]]]]])))
[((([([(([(([[[(([[([[([[([,])]])]])]]))]]]))]))])])))]
([[[(([[[((((,))))]]]))]]])
[(((([[([([[(([[(([([[,]])]))]]))]])])]]))))]
[[[[[(((([[([((((,))))])]]))))]]]]]
([[[[([([[([[[[,]]]])]])])]]]])
((([[((([(([(([([[[([((,))])]]])]))]))])))]])))
([(([[([(((([(([(,)]))]))))])]]))])
([[(((((([[(([(((((([[[[([(,)])]]]]))))))]))]]))))))]])
[([[([[[[[[[((((([(((((,)))))])))))]]]]]]])]])]
([([(([[,]]))])])
(([(([([[[[[[([[[[[[([[[(([[,]]))]]])]]]]]])]]]]]])]))]))
[[[((((([([(,)])])))))]]]
[(([[([((((((((([[((([([(([[,]]))])])))]])))))))))])]]))]
[([[[([[[(([[[([[[(([[[([([[,]])])]]]))]]])]]]))]]])]]])]
([([[[[[[([([((((([(([[[([,])]]]))])))))])])]]]]]])])
[([(((((([[[[,]]]]))))))])]
[[[([(([((([(,)])))]))])]]]
(([(([[[[[(,)]]]]]))]))
[([([[[([(((([([[((([([[[,]]])])))]])]))))])]]])])]
([[(([([((([[((,))]])))])]))]])
[[(([([((((,))))])]))]]
(([(([[((([([(([,]))])])))]]))]))
[([[([[([[[[[[[([[[(([([,])]))]]])]]]]]]])]])]])]
[[[(([([([[([([(([[([,])]]))])])]])])]))]]]
([[((([(([[[(([([([([[[[[[((,))]]]]]])])])]))]]]))])))]])
(([([[[(([[[[(((([,]))))]]]]))]]])]))
[([[[[(([((,))]))]]]])]
([[([([([([[[([(((([[[[(((([[,]]))))]]]]))))])]]])])])])]])
[[[(([[([([[(([[[[[[[([,])]]]]]]]))]])])]]))]]]
[[(([[([([(((((([[[((((,))))]]]))))))])])]]))]]
([([[([[((([[[(,)]]])))]])]])])
[([([[(((([(([[(([[((,))]]))]]))]))))]])])]
(((([[[[((([[[(([[(((([((((([(,)])))))]))))]]))]]])))]]]]))))
[[[[[([((([[([[[[(((((([(((,)))]))))))]]]])]])))])]]]]]
[[(([[[[(([[,]]))]]]]))]]
[[(([([(([(([([(([([(([[[[[,]]]]]))])]))])]))]))])]))]]
(([[([[([[([((((([[(((,)))]])))))])]])]])]]))
((([(([[[[(((([[([[[((([[(([[(,)]]))]])))]]])]]))))]]]]))])))
[([[[[[[[([(([[[[(,)]]]]))])]]]]]]])]
[[[(([(([[[[[([[[[[([((,))])]]]]])]]]]]))]))]]]
[[([[[[[[[([[,]])]]]]]]])]]
(((([[([[[[(,)]]]])]]))))
(([([[[[((([[[([[(,)]])]]])))]]]])]))
([[[([(((([[(,)]]))))])]]])
((((((([(([(([([[([(,)])]])]))]))])))))))
[[(((([[([([[(([[[[([((,))])]]]]))]])])]]))))]]
[[[(([[([[([(([[[,]]]))])]])]]))]]]
[(([(((([((([([([[[([[((([[([(,)])]])))]])]]])])])))]))))]))]
[[([[[[([((((([[[[([[(((((((,)))))))]])]]]])))))])]]]])]]
[[([([([((([[[[[[[((([[(([((,))]))]])))]]]]]]])))])])])]]
[[[[[[[[[(([(([[(([[(,)]]))]]))]))]]]]]]]]]
[([(([(([([(([[(((((,)))))]]))])]))]))])]
((([(([[((((([[([[([[[,]]])]])]])))))]]))])))
(((([[[([([([([((([[[(([(,)]))]]])))])])])])]]]))))
[[[[[[[([[[[[[[,]]]]]]])]]]]]]]
[[([[[([(([[[(([[[[([[[((([(,)])))]]])]]]]))]]]))])]]])]]
[([[[[(([[[(((([[(([(([,]))]))]]))))]]]))]]]])]
((([[(([[([([(([([[(([[[[[[[[,]]]]]]]]))]])]))])])]]))]])))
[[[([[(((((((([[[[((([[[(([[[,]]]))]]])))]]]]))))))))]])]]]
[[[[(([[[(((([[[((([,])))]]]))))]]]))]]]]
[(([(([([[[([(([[[(([([[([([((,))])])]])]))]]]))])]]])]))]))]
[[[[(([[[([[([([[([,])]])])]])]]]))]]]]
(([[[((([(([([,])]))])))]]]))
[[[((([((([([[(([([[[(([[,]]))]]])]))]])])))])))]]]
[[([[[[(,)]]]])]]
(((([((((((,))))))]))))
[[[([[([(([[[([[,]])]]]))])]])]]]
[((([((([[([([([[[(([[[[(,)]]]]))]]])])])]])))])))]
(([[([[[[[[([[([([[[(,)]]])])]])]]]]]])]]))
(([(([[([[[[[([[(((((((([[,]]))))))))]])]]]]])]]))]))
[(([((([[([([(([([[[([[([[([(,)])]])]])]]])]))])])]])))]))]
[(([([[((([(((([[[([,])]]]))))])))]])]))]
([[[([(((([,]))))])]]])
(([([(([([[,]])]))])]))
(([[[([[[[(([[[([([[([[[([([((,))])])]]])]])])]]]))]]]])]]]))
((((([((([([[([((([[[(([(([[(,)]]))]))]]])))])]])])))])))))
[((((([[(([([[[([([(([(((([[[(,)]]]))))]))])])]]])]))]])))))]
[[[[[([([[([([[[([([([((([(,)])))])])])]]])])]])])]]]]]
[([(([(((([((((([[([((,))])]])))))]))))]))])]
[([[[(([[(([([((((([[[([[[(([(,)]))]]])]]])))))])]))]]))]]])]
([[[(([([([[[[(((,)))]]]])])]))]]])
[(([[[([(([[[([[((,))]])]]]))])]]]))]
[[[(((([(([([[([(([(([[[,]]]))]))])]])]))]))))]]]
([(([[[[[[(([([[([([[[[[,]]]]])])]])]))]]]]]]))])
[(([([(([[((([([((([([,])])))])])))]]))])]))]
(((([((([[[[[[([([([((([,])))])])])]]]]]])))]))))
((([((([([[(([[(,)]]))]])])))])))
((([([[([((((([,])))))])]])])))
[([[[[[([(,)])]]]]])]
([([[([((([[[(((([[[[([[([(,)])]])]]]]))))]]])))])]])])
[([[[(([[[[([[([((([([[(,)]])])))])]])]]]]))]]])]
([((((([,])))))])
[[[(((((((,)))))))]]]
(([((([((,))])))]))
([[[((([[[([((([[[[[[[[((,))]]]]]]]])))])]]])))]]])
((((([(([([[([(,)])]])]))])))))
[((((([((([[([[(([[([[((([([(,)])])))]])]]))]])]])))])))))]
[(((((([([[(,)]])]))))))]
[((((([[((([[(((,)))]])))]])))))]
[((([([(([((((((([,])))))))]))])])))]
([[((([[([([([[[[[(([[[[([[[(,)]]])]]]]))]]]]])])])]])))]])
([(([[([[([([[[[[((,))]]]]])])]])]]))])
(([[[[[(([([[[(([(((((((((((,)))))))))))]))]]])]))]]]]]))
[[(([([([[[[[([[([[[[[,]]]]])]])]]]]])])]))]]
[[[([[[[,]]]])]]]
((([[[[(((([(((([[,]]))))]))))]]]])))
[[[([[([([[((,))]])])]])]]]
(([([((([((,))])))])]))
((((([((([[[(([([[(,)]])]))]]])))])))))
([([[([[((([[[([(([[(([[[((([,])))]]]))]]))])]]])))]])]])])
(([[[[[([[([[((((([[,]])))))]])]])]]]]]))
([([[[((([,])))]]])])
([[(([[[(([((([[(([[((((([([[[,]]])])))))]]))]])))]))]]]))]])
[(([[[((([[[[[((([[((([([,])])))]])))]]]]])))]]]))]
((([([[([[([((([,])))])]])]])])))
(((([(([((((([,])))))]))]))))
[([((([(((,)))])))])]
[(([([[[[[([((([[([([([([((,))])])])])]])))])]]]]])]))]
(([[(([([([((([(,)])))])])]))]]))
((([(([(([(([[([[,]])]]))]))]))])))
((([([([[[([[((([,])))]])]]])])])))
([((([[[,]]])))])
[[[[(([(([(([((([[([,])]])))]))]))]))]]]]
([[[(([(([((((((([([((,))])])))))))]))]))]]])
[[(([[((((([([((((([[(([((([[,]])))]))]])))))])])))))]]))]]
([[[([[([[([((([([(([[((,))]]))])])))])]])]])]]])
[[([([(([[([[[([((([[[[[[[,]]]]]]])))])]]])]]))])])]]
[([[[([(([[[((,))]]]))])]]])]
[((([(((((((,)))))))])))]
(([[[[[([([((,))])])]]]]]))
([([[[(([[[[([([[[[((,))]]]])])]]]]))]]])])
[([[((([[[[(((([((((,))))]))))]]]])))]])]
([([[[((((([(((((([(([(([,]))]))]))))))])))))]]])])
[[[[[([((([[[[(([(((([(,)]))))]))]]]])))])]]]]]
[[[(([(([([[((((([[[([([([,])])])]]])))))]])]))]))]]]
(((([[(([[[[[([((([([[([,])]])])))])]]]]]))]]))))
((([[[[[(((([(((([[([((,))])]]))))]))))]]]]])))
[[[([[([[(([(([([[(([([(([([,])]))])]))]])]))]))]])]])]]]
((((((([(([,]))])))))))
([[([[((((((([(([,]))])))))))]])]])
([[([[(,)]])]])
[([[([([[((([[[(([[[([([((,))])])]]]))]]])))]])])]])]
[([(([[([(((([[(([[([,])]]))]]))))])]]))])]
[(([[[[[([([[[([[[((([[[[[[(([,]))]]]]]])))]]])]]])])]]]]]))]
[[([([([[(([[[[[[(((,)))]]]]]]))]])])])]]
([[[[([([[([,])]])])]]]])
[[[(([((((([((([[([[([,])]])]])))])))))]))]]]
([[[((([(([([((([,])))])]))])))]]])
[((([[(((([([([[[[([[[(,)]]])]]]])])]))))]])))]
[[[(((([(([([[([[[[[[[[([(,)])]]]]]]]])]])]))]))))]]]
([[([[([[[[((,))]]]])]])]])
[[(([[([[[((([([(([[[([,])]]]))])])))]]])]]))]]
((([[(([[[[,]]]]))]])))
[([(([[([([(([[,]]))])])]]))])]
[[[[((([(((([[[[[[(([([[([(([(,)]))])]])]))]]]]]]))))])))]]]]
([([[((((([(([([(([([,])]))])]))])))))]])])
[([([[(([[(([[[([[([([[[,]]])])]])]]]))]]))]])])]
([[[([[([[((,))]])]])]]])
([[[[(([([[(([(([([[[(([(,)]))]]])]))]))]])]))]]]])
([[[([[[(((,)))]]])]]])
((([[[([[(,)]])]]])))
[[[([([([([[[,]]])])])])]]]
(((([([([(([[(((((([[[[[[[(,)]]]]]]]))))))]]))])])]))))
[([(([[([[[([[(,)]])]]])]]))])]
(((([[[[[[(((([(((([[,]]))))]))))]]]]]]))))
([[([[[[(((([([[([(([[(,)]]))])]])]))))]]]])]])
[([([(((([(,)]))))])])]
[[([([[[((([(,)])))]]])])]]
([([((([[[[(([([[[[[([[,]])]]]]])]))]]]])))])])
([[((([[([((([[((([[[[[([[[[(,)]]]])]]]]])))]])))])]])))]])
[[(([[((((([[[[((([([(((([(,)]))))])])))]]]])))))]]))]]
([(([[([((((((((([((([[,]])))])))))))))])]]))])
([[(((([[((([([((([([(,)])])))])])))]]))))]])
[[(((([[([([([([([,])])])])])]]))))]]
(([([(([((([[((((([([[,]])])))))]])))]))])]))
[([[([[[[([(([,]))])]]]])]])]
[[[(([[[[(([[[[[[[(([((((([([,])])))))]))]]]]]]]))]]]]))]]]
(([[(([([([[[[[([[([[(((([[,]]))))]])]])]]]]])])]))]]))
(([[[([[[[[[([([[[([[[(,)]]])]]])])]]]]]])]]]))
[[[[[([([((,))])])]]]]]
(((([([([[[[[([[[[[[(([(([([[(,)]])]))]))]]]]]])]]]]])])]))))
[[(((((([([[,]])]))))))]]
([([([[(([,]))]])])])
([[([((([(,)])))])]])
[([([([((((([(([[[,]]]))])))))])])])]
(([(([[(((([[([(((((,)))))])]]))))]]))]))
[((([[([((([[([[((([[[,]]])))]])]])))])]])))]
([[[[[(([[[([[([(,)])]])]]]))]]]]])
((((([[[[(,)]]]])))))
([([([[[(((((([(((([([(,)])]))))]))))))]]])])])
[[[([([([(,)])])])]]]
([([(([((([([[[[([[[([[[([[,]])]]])]]])]]]])])))]))])])
[([[[[([[[[(([,]))]]]])]]]])]
[[([(((([(([(((,)))]))]))))])]]
([[[([[((([,])))]])]]])
[[(([(([,]))]))]]
[[([([([[(,)]])])])]]
[([[[([[(([[((([([[(((,)))]])])))]]))]])]]])]
([((([(([((([(([[[[[[(((,)))]]]]]]))])))]))])))])
([[[((([(([([,])]))])))]]])
(((([[[([((([,])))])]]]))))
([[(([[([([,])])]]))]])
[[[[[[[((([[[[((([[[([,])]]])))]]]])))]]]]]]]
(([[((((([([((,))])])))))]]))
[[(((((([(([[(([((((([(,)])))))]))]]))]))))))]]
([[(([[[[(([[[[[[[[([[[(([(([,]))]))]]])]]]]]]]]))]]]]))]])
[[[([([(((((((,)))))))])])]]]
[(([((([[[[(([,]))]]]])))]))]
[[(([[([[((([(((([[([(,)])]]))))])))]])]]))]]
((([([[((([[([[[([([[[[([(((([,]))))])]]]])])]]])]])))]])])))
[([([(([(([[,]]))]))])])]
([[[((((,))))]]])
[[(((([(([[[[[[((([[([([(,)])])]])))]]]]]]))]))))]]
([[[([(([((([([(([[(([[([,])]]))]]))])])))]))])]]])
(((((((((((([[([[[,]]])]]))))))))))))
[[[[[(([[[[[[[(((,)))]]]]]]]))]]]]]
(((([[(([((([([(((([(([,]))]))))])])))]))]]))))
[(([([(((,)))])]))]
[((([[(([((,))]))]])))]
[[(((((([[[([[([([[[([[([[(,)]])]])]]])])]])]]]))))))]]
[([([[([(((((([([([(([((,))]))])])]))))))])]])])]
[((([[[(((([([[([(([([[([,])]])]))])]])]))))]]])))]
((([[(([[(([[([([[((((([[[,]]])))))]])])]]))]]))]])))
[[([([[((([([((([[[([[[[[[,]]]]]])]]])))])])))]])])]]
[((([([[([[[[[([[([(([,]))])]])]]]]])]])])))]
([[[((((([((([[((([[([([[[,]]])])]])))]])))])))))]]])
([[([([[(([[[(((([[((([(((([(,)]))))])))]]))))]]]))]])])]])
[([[[[(([(([[((([[[[[[[(([[(,)]]))]]]]]]])))]]))]))]]]])]
[[[([[[[[[[,]]]]]]])]]]
[[([([([((([[[(([[(,)]]))]]])))])])])]]
[([[([[[[[[((,))]]]]]])]])]
(([(((([(([([[([[[[(([[,]]))]]]])]])]))]))))]))
((([[[([[[[,]]]])]]])))
([[[[[([([((,))])])]]]]])
([[[[[(([[[[([[[[((([[[[([(([,]))])]]]])))]]]])]]]]))]]]]])
([[[([[[[([([([[[([([[([([(,)])])]])])]]])])])]]]])]]])
([(([[(([([([[[(([([([[,]])])]))]]])])]))]]))])
(([([(([[(([[([([([[[(([(([([[,]])]))]))]]])])])]]))]]))])]))
[[([[([[,]])]])]]
[((([(([[([[([[([(([[([[[[,]]]])]]))])]])]])]]))])))]
[([((([([[(([[((,))]]))]])])))])]
([[([([([((([[([[([[[,]]])]])]])))])])])]])
([[([[((([(([[[[[[[(([[[[,]]]]))]]]]]]]))])))]])]])
([(([[((([([[[[(((,)))]]]])])))]]))])
[((([(([[([[([[[([([[((([[(,)]])))]])])]]])]])]]))])))]
([[([[[[[(((([,]))))]]]]])]])
(((([[([([([([[[(([(((([[,]]))))]))]]])])])])]]))))
[([([[(([[,]]))]])])]
(([[[[(([[[[(([[([[,]])]]))]]]]))]]]]))
((((([(([((([[[[(((((([(,)]))))))]]]])))]))])))))
(([([[([([(([([((,))])]))])])]])]))
[((([[[[([[([[[(([([((([([[[(,)]]])])))])]))]]])]])]]]])))]
[[((([([[[([(((([(([,]))]))))])]]])])))]]
[(([([[[[[([[[[[([,])]]]]])]]]]])]))]
[[[([[[([[[((,))]]])]]])]]]
[([(((([(((([,]))))]))))])]
(([([[([[[((([([[([[[[([[[[((,))]]]])]]]])]])])))]]])]])]))
[(([[([[[[(([[([([[([(([[,]]))])]])])]]))]]]])]]))]
[([((([([(([[[[([[(([((([([,])])))]))]])]]]]))])])))])]
(([([([[([([[[[[(([((,))]))]]]]])])]])])]))
(([([([(([((([(([(,)]))])))]))])])]))
[[[[[[((([(([,]))])))]]]]]]
(([([([((,))])])]))
([[([([[(([[[[[([(((,)))])]]]]]))]])])]])
((((([[[(((([[[,]]]))))]]])))))
((([([[[[((([(([[[(([[[([[([,])]])]]]))]]]))])))]]]])])))
((([([(([([[[[[[[[[[[((((([((,))])))))]]]]]]]]]]])]))])])))
[[([((([(([((([[[([((,))])]]])))]))])))])]]
[([([[[(([(((([,]))))]))]]])])]
[[(([[(([([[([[[[,]]]])]])]))]]))]]
[((([[([(([[[([[[,]]])]]]))])]])))]
(([[((([[[[[[[[[[[[[[[([(,)])]]]]]]]]]]]]]]])))]]))
(([[((([([[([[([([[((([[,]])))]])])]])]])])))]]))
[(([[([(((([[([[([[([(([((([[,]])))]))])]])]])]]))))])]]))]
[(((((([[(((((([[((([([([([(([,]))])])])])))]]))))))]]))))))]
[([[([[((((([[([((,))])]])))))]])]])]
((((([[[(([([((((([[([,])]])))))])]))]]])))))
[([[([([([[(([[[[([[[[((,))]]]])]]]]))]])])])]])]
[[[([([([[[[([[[[([((([[,]])))])]]]])]]]])])])]]]
([(([[(((([[,]]))))]]))])
[(([([[(([((([[[[[[(([[[(((,)))]]]))]]]]]])))]))]])]))]
([[[[(([[((((((([([[([(((((([,]))))))])]])])))))))]]))]]]])
([([((([[([,])]])))])])
[([[(((((((([[[((,))]]]))))))))]])]
[([[((([[[[[((,))]]]]])))]])]
([[[(([[([(([,]))])]]))]]])
[[([([[[[[([(((([[[,]]]))))])]]]]])])]]
[[[((((([(([([[,]])]))])))))]]]
(([([([([([([([(((((,)))))])])])])])])]))
([([([([[[([(([[([[[([([(,)])])]]])]]))])]]])])])])
([([[[([([[([([[[([((((([[[[[,]]]]])))))])]]])])]])])]]])])
([([([[(([([((((((,))))))])]))]])])])
[[([([[([[[[[[[([([(([[,]]))])])]]]]]]])]])])]]
[(((([([[[(([[(([(([(((,)))]))]))]]))]]])]))))]
[([([[([([[[[((,))]]]])])]])])]
((([(((([[[[((((([([[[(((,)))]]])])))))]]]]))))])))
(([[[[[([(([(((((((([(([,]))]))))))))]))])]]]]]))
(([[([[((,))]])]]))
[[[[[([[([[[(([(,)]))]]])]])]]]]]
(((([[[[[([(((((([(([([,])]))]))))))])]]]]]))))
((([[[([((((([(([[(([[([[(,)]])]]))]]))])))))])]]])))
